date_sk,full_date,day_of_month,day_name,week_of_year,month_number,month_name,quarter_number,year_number,is_weekend,is_peak_season
20250520,2025-05-20,20,Selasa,21,5,Mei,2,2025,False,False
20250521,2025-05-21,21,Rabu,21,5,Mei,2,2025,False,False
20250522,2025-05-22,22,Kamis,21,5,Mei,2,2025,False,False
20250523,2025-05-23,23,Jumat,21,5,Mei,2,2025,False,False
20250524,2025-05-24,24,Sabtu,21,5,Mei,2,2025,True,False
20250525,2025-05-25,25,Minggu,21,5,Mei,2,2025,True,False
20250526,2025-05-26,26,Senin,22,5,Mei,2,2025,False,False
20250527,2025-05-27,27,Selasa,22,5,Mei,2,2025,False,False
20250528,2025-05-28,28,Rabu,22,5,Mei,2,2025,False,False
20250529,2025-05-29,29,Kamis,22,5,Mei,2,2025,False,False
20250530,2025-05-30,30,Jumat,22,5,Mei,2,2025,False,False
20250531,2025-05-31,31,Sabtu,22,5,Mei,2,2025,True,False
20250601,2025-06-01,1,Minggu,22,6,Juni,2,2025,True,True
20250602,2025-06-02,2,Senin,23,6,Juni,2,2025,False,True
20250603,2025-06-03,3,Selasa,23,6,Juni,2,2025,False,True
20250604,2025-06-04,4,Rabu,23,6,Juni,2,2025,False,True
20250605,2025-06-05,5,Kamis,23,6,Juni,2,2025,False,True
20250606,2025-06-06,6,Jumat,23,6,Juni,2,2025,False,True
20250607,2025-06-07,7,Sabtu,23,6,Juni,2,2025,True,True
20250608,2025-06-08,8,Minggu,23,6,Juni,2,2025,True,True
20250609,2025-06-09,9,Senin,24,6,Juni,2,2025,False,True
20250610,2025-06-10,10,Selasa,24,6,Juni,2,2025,False,True
20250611,2025-06-11,11,Rabu,24,6,Juni,2,2025,False,True
20250612,2025-06-12,12,Kamis,24,6,Juni,2,2025,False,True
20250613,2025-06-13,13,Jumat,24,6,Juni,2,2025,False,True
20250614,2025-06-14,14,Sabtu,24,6,Juni,2,2025,True,True
20250615,2025-06-15,15,Minggu,24,6,Juni,2,2025,True,True
20250616,2025-06-16,16,Senin,25,6,Juni,2,2025,False,True
20250617,2025-06-17,17,Selasa,25,6,Juni,2,2025,False,True
20250618,2025-06-18,18,Rabu,25,6,Juni,2,2025,False,True
20250619,2025-06-19,19,Kamis,25,6,Juni,2,2025,False,True
20250620,2025-06-20,20,Jumat,25,6,Juni,2,2025,False,True
20250621,2025-06-21,21,Sabtu,25,6,Juni,2,2025,True,True
20250622,2025-06-22,22,Minggu,25,6,Juni,2,2025,True,True
20250623,2025-06-23,23,Senin,26,6,Juni,2,2025,False,True
20250624,2025-06-24,24,Selasa,26,6,Juni,2,2025,False,True
20250625,2025-06-25,25,Rabu,26,6,Juni,2,2025,False,True
20250626,2025-06-26,26,Kamis,26,6,Juni,2,2025,False,True
20250627,2025-06-27,27,Jumat,26,6,Juni,2,2025,False,True
20250628,2025-06-28,28,Sabtu,26,6,Juni,2,2025,True,True
20250629,2025-06-29,29,Minggu,26,6,Juni,2,2025,True,True
20250630,2025-06-30,30,Senin,27,6,Juni,2,2025,False,True
20250701,2025-07-01,1,Selasa,27,7,Juli,3,2025,False,True
20250702,2025-07-02,2,Rabu,27,7,Juli,3,2025,False,True
20250703,2025-07-03,3,Kamis,27,7,Juli,3,2025,False,True
20250704,2025-07-04,4,Jumat,27,7,Juli,3,2025,False,True
20250705,2025-07-05,5,Sabtu,27,7,Juli,3,2025,True,True
20250706,2025-07-06,6,Minggu,27,7,Juli,3,2025,True,True
20250707,2025-07-07,7,Senin,28,7,Juli,3,2025,False,True
20250708,2025-07-08,8,Selasa,28,7,Juli,3,2025,False,True
20250709,2025-07-09,9,Rabu,28,7,Juli,3,2025,False,True
20250710,2025-07-10,10,Kamis,28,7,Juli,3,2025,False,True
20250711,2025-07-11,11,Jumat,28,7,Juli,3,2025,False,True
20250712,2025-07-12,12,Sabtu,28,7,Juli,3,2025,True,True
20250713,2025-07-13,13,Minggu,28,7,Juli,3,2025,True,True
20250714,2025-07-14,14,Senin,29,7,Juli,3,2025,False,True
20250715,2025-07-15,15,Selasa,29,7,Juli,3,2025,False,True
20250716,2025-07-16,16,Rabu,29,7,Juli,3,2025,False,True
20250717,2025-07-17,17,Kamis,29,7,Juli,3,2025,False,True
20250718,2025-07-18,18,Jumat,29,7,Juli,3,2025,False,True
20250719,2025-07-19,19,Sabtu,29,7,Juli,3,2025,True,True
20250720,2025-07-20,20,Minggu,29,7,Juli,3,2025,True,True
20250721,2025-07-21,21,Senin,30,7,Juli,3,2025,False,True
20250722,2025-07-22,22,Selasa,30,7,Juli,3,2025,False,True
20250723,2025-07-23,23,Rabu,30,7,Juli,3,2025,False,True
20250724,2025-07-24,24,Kamis,30,7,Juli,3,2025,False,True
20250725,2025-07-25,25,Jumat,30,7,Juli,3,2025,False,True
20250726,2025-07-26,26,Sabtu,30,7,Juli,3,2025,True,True
20250727,2025-07-27,27,Minggu,30,7,Juli,3,2025,True,True
20250728,2025-07-28,28,Senin,31,7,Juli,3,2025,False,True
20250729,2025-07-29,29,Selasa,31,7,Juli,3,2025,False,True
20250730,2025-07-30,30,Rabu,31,7,Juli,3,2025,False,True
20250731,2025-07-31,31,Kamis,31,7,Juli,3,2025,False,True
20250801,2025-08-01,1,Jumat,31,8,Agustus,3,2025,False,False
20250802,2025-08-02,2,Sabtu,31,8,Agustus,3,2025,True,False
20250803,2025-08-03,3,Minggu,31,8,Agustus,3,2025,True,False
20250804,2025-08-04,4,Senin,32,8,Agustus,3,2025,False,False
20250805,2025-08-05,5,Selasa,32,8,Agustus,3,2025,False,False
20250806,2025-08-06,6,Rabu,32,8,Agustus,3,2025,False,False
20250807,2025-08-07,7,Kamis,32,8,Agustus,3,2025,False,False
20250808,2025-08-08,8,Jumat,32,8,Agustus,3,2025,False,False
20250809,2025-08-09,9,Sabtu,32,8,Agustus,3,2025,True,False
20250810,2025-08-10,10,Minggu,32,8,Agustus,3,2025,True,False
20250811,2025-08-11,11,Senin,33,8,Agustus,3,2025,False,False
20250812,2025-08-12,12,Selasa,33,8,Agustus,3,2025,False,False
20250813,2025-08-13,13,Rabu,33,8,Agustus,3,2025,False,False
20250814,2025-08-14,14,Kamis,33,8,Agustus,3,2025,False,False
20250815,2025-08-15,15,Jumat,33,8,Agustus,3,2025,False,False
20250816,2025-08-16,16,Sabtu,33,8,Agustus,3,2025,True,False
20250817,2025-08-17,17,Minggu,33,8,Agustus,3,2025,True,False
20250818,2025-08-18,18,Senin,34,8,Agustus,3,2025,False,False
20250819,2025-08-19,19,Selasa,34,8,Agustus,3,2025,False,False
20250820,2025-08-20,20,Rabu,34,8,Agustus,3,2025,False,False
20250821,2025-08-21,21,Kamis,34,8,Agustus,3,2025,False,False
20250822,2025-08-22,22,Jumat,34,8,Agustus,3,2025,False,False
20250823,2025-08-23,23,Sabtu,34,8,Agustus,3,2025,True,False
20250824,2025-08-24,24,Minggu,34,8,Agustus,3,2025,True,False
20250825,2025-08-25,25,Senin,35,8,Agustus,3,2025,False,False
20250826,2025-08-26,26,Selasa,35,8,Agustus,3,2025,False,False
20250827,2025-08-27,27,Rabu,35,8,Agustus,3,2025,False,False
20250828,2025-08-28,28,Kamis,35,8,Agustus,3,2025,False,False
20250829,2025-08-29,29,Jumat,35,8,Agustus,3,2025,False,False
20250830,2025-08-30,30,Sabtu,35,8,Agustus,3,2025,True,False
20250831,2025-08-31,31,Minggu,35,8,Agustus,3,2025,True,False
20250901,2025-09-01,1,Senin,36,9,September,3,2025,False,False
20250902,2025-09-02,2,Selasa,36,9,September,3,2025,False,False
20250903,2025-09-03,3,Rabu,36,9,September,3,2025,False,False
20250904,2025-09-04,4,Kamis,36,9,September,3,2025,False,False
20250905,2025-09-05,5,Jumat,36,9,September,3,2025,False,False
20250906,2025-09-06,6,Sabtu,36,9,September,3,2025,True,False
20250907,2025-09-07,7,Minggu,36,9,September,3,2025,True,False
20250908,2025-09-08,8,Senin,37,9,September,3,2025,False,False
20250909,2025-09-09,9,Selasa,37,9,September,3,2025,False,False
20250910,2025-09-10,10,Rabu,37,9,September,3,2025,False,False
20250911,2025-09-11,11,Kamis,37,9,September,3,2025,False,False
20250912,2025-09-12,12,Jumat,37,9,September,3,2025,False,False
20250913,2025-09-13,13,Sabtu,37,9,September,3,2025,True,False
20250914,2025-09-14,14,Minggu,37,9,September,3,2025,True,False
20250915,2025-09-15,15,Senin,38,9,September,3,2025,False,False
20250916,2025-09-16,16,Selasa,38,9,September,3,2025,False,False
20250917,2025-09-17,17,Rabu,38,9,September,3,2025,False,False
